#########################################
#     NEBULAR output spectrum
#########################################
#
# Electron temperature [K]      : 10000
# Electron density [cm-3]       : 100
# Helium abundance              : 0.1
# Ionisation fraction (H+)      : 1
# Ionisation fraction (He+)     : 1
# Ionisation fraction (He++)    : 9.25655e-09
# H+ density [cm-3]             : 90
# He+ density [cm-3]            : 10
# He++ density [cm-3]           : 9.25655e-08
# Total nuclear density [cm-3]  : 100
# Total matter density [g cm-3] : 2.17083e-22
#
# Col 1:  Frequency [Hz]
# Col 2:  Wavelength [A]
# Col 3:  Total spectrum: f_lambda (erg s-1 cm-2 A-1)
# Col 4:  j_fb (free-bound HI)
# Col 5:  j_fb (free-bound HeI)
# Col 6:  j_fb (free-bound HeII)
# Col 7:  j_2q (two-photon HI)
# Col 8:  j_2q (two-photon HeI)
# Col 9:  j_2q (two-photon HeII)
# Col 10:  j_ff (free-free HII)
# Col 11: j_ff (free-free HeII)
# Col 12: j_ff (free-free HeIII)
# Col 13: j_nn' (HI   recombination lines)
# Col 14: j_nn' (HeI  recombination lines)
# Col 15: j_nn' (HeII recombination lines)
#
# nu lambda f_lambda fb_HI fb_HeI fb_HeII 2q_HI 2q_HeI 2q_HeII ff_HII ff_HeII ff_HeIII eml_HI eml_HeI eml_HeII
5.99585e+15 500 3.69348e-22 0 0 8.39808e-27 0 0 3.69316e-22 2.07225e-26 2.3025e-27 8.49052e-35 0 0 0
5.98388e+15 501 3.67318e-22 0 0 8.85705e-27 0 0 3.67285e-22 2.18613e-26 2.42903e-27 8.95644e-35 0 0 0
5.97196e+15 502 3.65301e-22 0 0 9.33906e-27 0 0 3.65267e-22 2.30575e-26 2.56195e-27 9.44583e-35 0 0 0
5.96009e+15 503 3.63297e-22 0 0 9.84515e-27 0 0 3.63261e-22 2.43139e-26 2.70154e-27 9.95978e-35 0 0 0
5.94826e+15 504 3.61306e-22 0 0 1.03764e-26 0 0 3.61267e-22 2.56331e-26 2.84812e-27 1.04994e-34 0 0 0
5.93648e+15 505 3.64893e-22 0 5.56631e-24 1.0934e-26 0 0 3.59286e-22 2.70181e-26 3.00201e-27 1.10659e-34 0 0 0
5.92475e+15 506 3.63216e-22 0 5.8552e-24 1.1519e-26 0 0 3.57317e-22 2.84717e-26 3.16352e-27 1.16604e-34 0 0 0
5.91307e+15 507 3.61564e-22 0 6.15779e-24 1.21328e-26 0 0 3.55361e-22 2.99971e-26 3.33301e-27 1.22842e-34 0 0 0
5.90143e+15 508 3.5994e-22 0 6.47466e-24 1.27765e-26 0 0 3.53417e-22 3.15974e-26 3.51082e-27 1.29386e-34 0 0 0
5.88983e+15 509 3.58342e-22 0 6.80642e-24 1.34516e-26 0 0 3.51485e-22 3.32761e-26 3.69735e-27 1.3625e-34 0 0 0
5.87828e+15 510 3.56772e-22 0 7.15371e-24 1.41594e-26 0 0 3.49565e-22 3.50366e-26 3.89296e-27 1.43448e-34 0 0 0
5.86678e+15 511 3.55231e-22 0 7.51717e-24 1.49013e-26 0 0 3.47658e-22 3.68825e-26 4.09806e-27 1.50995e-34 0 0 0
5.85532e+15 512 3.53718e-22 0 7.89749e-24 1.56788e-26 0 0 3.45762e-22 3.88176e-26 4.31307e-27 1.58906e-34 0 0 0
5.84391e+15 513 3.52235e-22 0 8.29549e-24 1.64935e-26 0 0 3.43878e-22 4.08457e-26 4.53841e-27 1.67196e-34 0 0 0
5.83254e+15 514 3.50783e-22 0 8.7118e-24 1.7347e-26 0 0 3.42006e-22 4.2971e-26 4.77455e-27 1.75883e-34 0 0 0
5.82121e+15 515 3.49362e-22 0 9.14717e-24 1.82409e-26 0 0 3.40146e-22 4.51976e-26 5.02195e-27 1.84983e-34 0 0 0
5.80993e+15 516 3.47972e-22 0 9.60238e-24 1.9177e-26 0 0 3.38297e-22 4.75299e-26 5.2811e-27 1.94515e-34 0 0 0
5.79869e+15 517 3.46615e-22 0 1.00782e-23 2.01571e-26 0 0 3.36461e-22 4.99724e-26 5.55249e-27 2.04497e-34 0 0 0
5.7875e+15 518 3.4529e-22 0 1.05756e-23 2.11831e-26 0 0 3.34635e-22 5.25299e-26 5.83666e-27 2.14948e-34 0 0 0
